0.6, 0.029, -0.036, 0.588
1, 0.107, -0.039, 0.599
1, -0.107, -0.052, 0.605
1, 0.019, -0.14, 0.616
0.55, 0.032, -0.025, 0.551
1, 0.104, -0.033, 0.547
1, -0.101, -0.036, 0.56
1, 0.046, -0.129, 0.552
0.5, 0.034, -0.011, 0.493
1, 0.107, -0.009, 0.596
1, -0.103, -0.007, 0.501
1, 0.067, -0.118, 0.499
0.45, 0.036, -0.01, 0.457
1, 0.098, -0.014, 0.448
1, -0.099, -0.007, 0.458
1, 0.02, -0.103, 0.459
0.4, 0.023, -0.006, 0.391
1, 0.078, -0.009, 0.392
1, -0.031, -0.008, 0.404
1, 0.038, -0.048, 0.404
0.35, 0.008, -0.002, 0.342
1, 0.073, -0.003, 0.351
1, -0.032, -0.005, 0.361
1, 0.024, -0.05, 0.36
